parameter,description,min_value,max_value,calibrated_value
CN2,径流曲线数,-0.520,-0.450,-0.469
ALPHA_BF,基流α系数/d,0.010,0.100,0.041
GW_DELAY,地下水延迟时间/d,0.000,2.500,0.121
GWQMN,基流判定系数/mm,0.000,20.000,5.367
ESCO,土壤蒸发补偿系数,0.850,0.980,0.965
GW_REVAP,地下水再蒸发系数,0.060,0.120,0.108
CH_K2,主河道河床有效水力传导系数/(mm·h⁻¹),50.000,75.000,54.042
CH_N2,主河道曼宁系数,0.280,0.380,0.318
SOL_AWC,土壤层可利用有效水/(mm·mm⁻¹),-0.140,-0.080,-0.098
SOL_K,土壤饱和水力传导系数/(mm·h⁻¹),-0.380,-0.250,-0.347
OV_N,坡面漫流曼宁系数,0.220,0.280,0.246
SOL_BD,土壤容重/(g·cm⁻³),0.100,0.400,0.131
ALPHA_BNK,河岸调蓄α系数,0.600,0.850,0.627
HRU_SLP,HRU平均坡度,-0.240,-0.180,-0.184
SURLAG,地表径流滞后系数/d,0.500,0.700,0.631
RCHRG_DP,深层地下水补给系数,0.020,0.040,0.022
REVAPMN,地下水再蒸发阈值深度/mm,50.000,68.000,60.470
